epoch,train_loss,val_loss,best_val_loss,lr,improved,no_improve,delta_r_mean,delta_r_count,hard_delta_r_mean,hard_delta_r_count,sign_accuracy,sign_count,amplitude_ratio,active_fraction,pattern_score
41,4.4013062825542875,4.824057012796402,4.646962711587548,3e-05,0,6,0.2765263210454839,862.0,0.28449722026129187,795.0,0.7775342130248796,25281892.0,0.5636991401421222,0.7207401912581617,0.41134233240237533
42,4.621031257207505,4.853593073552474,4.646962711587548,3e-05,0,7,0.2785734541610471,862.0,0.2881870324600418,795.0,0.7716034068969205,25281892.0,0.5899196451058797,0.7207401912581617,0.4161192665347502
43,4.5748507646494545,4.906122816959396,4.646962711587548,1.5e-05,0,8,0.2748904353971409,862.0,0.2836951546886432,795.0,0.7650271981226722,25281892.0,0.6108151188859253,0.7207401912581617,0.41205254664580127
44,4.483669234672561,4.730967829702422,4.646962711587548,1.5e-05,0,9,0.2812566341585944,862.0,0.29040975903846183,795.0,0.7762764353237487,25281892.0,0.6001285101587424,0.7207401912581617,0.42013447294810563
45,4.774384799733525,4.776154232211411,4.646962711587548,1.5e-05,0,10,0.27711499189383193,862.0,0.2873705704913199,795.0,0.7796040343816041,25281892.0,0.5040111314254682,0.7207401912581617,0.4090335311179897
46,4.307896496844478,4.649523582542315,4.646962711587548,1.5e-05,0,11,0.28288300634467684,862.0,0.29277456084137443,795.0,0.7779123097274524,25281892.0,0.5444210572751658,0.7207401912581617,0.41795540632849093
47,4.4173123535874765,4.66956474003382,4.646962711587548,1.5e-05,0,12,0.2846116045113921,862.0,0.29469439322656055,795.0,0.7804899253584344,25281892.0,0.5150868421779154,0.7207401912581617,0.4176213899509519
48,4.428649390407372,4.664827409666032,4.646962711587548,1.5e-05,0,13,0.2856544485345932,862.0,0.2951705129172817,795.0,0.7815028242348317,25281892.0,0.54064622307045,0.7207401912581617,0.4207215704882473
49,4.457257604168262,4.673692760057747,4.646962711587548,1.5e-05,0,14,0.28825284770998905,862.0,0.29734979367949677,795.0,0.781126823894351,25281892.0,0.5836282353113533,0.7207401912581617,0.4266506043468617
50,4.351498047471978,4.663717641495168,4.646962711587548,1.5e-05,0,15,0.28463719850903046,862.0,0.29393206175018405,795.0,0.7844622546445496,25281892.0,0.5573943839548912,0.7207401912581617,0.42160040070830335
51,4.321702981338603,4.6400335060898215,4.6400335060898215,1.5e-05,1,0,0.28895675778181534,862.0,0.2987848668353363,795.0,0.785316502419993,25281892.0,0.5080245052855419,0.7207401912581617,0.42198688762853287
52,4.517685035272734,4.711976826423779,4.6400335060898215,1.5e-05,0,1,0.29123646991107,862.0,0.3007591743842236,795.0,0.7837625443538798,25281892.0,0.5645119289234454,0.7207401912581617,0.42892199506619405
53,4.5713147017522715,4.641891787294298,4.6400335060898215,1.5e-05,0,2,0.2902749763010826,862.0,0.3002611316974808,795.0,0.7861560756607932,25281892.0,0.5614770394328575,0.7207401912581617,0.4286331269735536
54,4.333733987470623,4.69161523191724,4.6400335060898215,1.5e-05,0,3,0.2908124957263919,862.0,0.2996315896323642,795.0,0.7803775919935106,25281892.0,0.6422249547566726,0.7207401912581617,0.4335662760385885
55,4.607866282458417,4.621655063703656,4.621655063703656,1.5e-05,1,0,0.292381205796988,862.0,0.30171659171768705,795.0,0.7793985513425973,25281892.0,0.5653826858493955,0.7207401912581617,0.42908367913490664
56,4.542262552888133,4.631093980744481,4.621655063703656,1.5e-05,0,1,0.2934208419735775,862.0,0.3026321402229603,795.0,0.7848706101584486,25281892.0,0.5744392315915455,0.7207401912581617,0.4318882140818544
57,4.4831818791572005,4.625394749455154,4.621655063703656,1.5e-05,0,2,0.29492940197929984,862.0,0.3044509770454101,795.0,0.7811094992415916,25281892.0,0.624181390500124,0.7207401912581617,0.43710716374618896
58,4.312035782320891,4.653141401242465,4.621655063703656,1.5e-05,0,3,0.2932220790448778,862.0,0.3018564449213211,795.0,0.7802120189422532,25281892.0,0.5798814123855113,0.7207401912581617,0.43065226582221944
59,4.165493456763215,4.675275989808142,4.621655063703656,1.5e-05,0,4,0.28882603540048524,862.0,0.29806719755039274,795.0,0.7831455414808354,25281892.0,0.5843004809731397,0.7207401912581617,0.42782931053351997
60,4.6649858360760845,4.665146712446585,4.621655063703656,1.5e-05,0,5,0.2954354173614019,862.0,0.305241798197136,795.0,0.7840965383445194,25281892.0,0.6084216230153484,0.7207401912581617,0.43721674694400614
61,4.755504737928277,4.664685464929789,4.621655063703656,1.5e-05,0,6,0.2928893524945958,862.0,0.3016383425760194,795.0,0.7882526355226895,25281892.0,0.5284574264163484,0.7207401912581617,0.4273992180595467
62,4.627088488196023,4.66607024287805,4.621655063703656,1.5e-05,0,7,0.2934802402450494,862.0,0.3018293325303111,795.0,0.7873765934922908,25281892.0,0.5797275541968246,0.7207401912581617,0.4320448002315332
63,3.901356937014498,4.575940766604617,4.575940766604617,1.5e-05,1,0,0.3008175351918435,862.0,0.30984133377015216,795.0,0.7875035618378561,25281892.0,0.5340461565004424,0.7207401912581617,0.4359783957195645
