dataset_index,sample_key,job,month,time_index,z0,local_z,global_z,height_m,y0,x0,valid_fraction_3d,valid_fraction_slice,score,u_R,u_MAE,u_RMSE,v_R,v_MAE,v_RMSE,w_R,w_MAE,w_RMSE,theta_prime_R,theta_prime_MAE,theta_prime_RMSE,theta_R,theta_MAE,theta_RMSE
642,camden/z23_camden201906/t0038/z000_y0000_x0512,z23_camden201906,6,38,0,5,5,50.0,0,512,0.6771478652954102,0.55816650390625,0.561836194925755,0.58813243499678,1.2837792057232364,1.6341228773735572,0.5374703442087682,1.39203580677216,1.74641415168973,0.4496122959555545,0.40758388769796206,0.5915656959445554,0.5815784296241413,0.8761456621367791,0.9234514310398636,0.5679080409539821,0.882690515617258,0.9315521615191867
642,camden/z23_camden201906/t0038/z000_y0000_x0512,z23_camden201906,6,38,0,7,7,70.0,0,512,0.6771478652954102,0.909332275390625,0.4207365073984451,0.4308546017831225,1.4036484625682208,1.743303935746711,0.3562970210822636,1.5078721234441328,1.9101093945748742,0.36368889930621484,0.4593809960947454,0.6485900089261282,0.508195977720997,0.7680831031568955,0.8007682268585962,0.4857977482963367,0.839434869042074,0.8719509294943419
642,camden/z23_camden201906/t0038/z000_y0000_x0512,z23_camden201906,6,38,0,10,10,100.0,0,512,0.6771478652954102,0.9977569580078125,0.18701600153541292,0.23747453442696173,1.5219992149782078,1.8522035673797081,0.13502828984215015,1.574857961187328,1.9540625223094057,0.2193634276166985,0.5536477700684096,0.792885375660391,0.1826873666415555,0.7232012617638907,0.750135092176112,0.14939726164081252,0.6169612893680632,0.6524615782959968
642,camden/z23_camden201906/t0038/z000_y0000_x0512,z23_camden201906,6,38,0,12,12,120.0,0,512,0.6771478652954102,0.998809814453125,0.21866712703847477,0.24500127961778023,1.840644381278602,2.2044285910964128,0.19396238641884317,1.526467527174455,1.8970081295029249,0.17026864375723183,0.5670882840947452,0.8152747097610725,0.22606564695118006,0.6955897843642146,0.7150233892905313,0.17288168390390732,0.6316648123881976,0.6567012194761087
642,camden/z23_camden201906/t0038/z000_y0000_x0512,z23_camden201906,6,38,0,15,15,150.0,0,512,0.6771478652954102,0.99896240234375,0.21546152667961324,0.25956945616646204,1.897791585442913,2.231588576411891,0.1385342749671851,1.4725221139276705,1.8417617716615762,0.13634272829828953,0.5561088484844116,0.7864854047775991,0.2772323374716891,0.6438229071942466,0.6581351104981354,0.19553527801756737,0.6408388132340179,0.6589004614577679
86,camden/z18_camden201901/t0038/z000_y0256_x0512,z18_camden201901,1,38,0,3,3,30.0,256,512,0.6474933624267578,0.0031890869140625,-0.716212564030745,-0.14418052247063481,3.180113832916369,3.603963632804042,0.13986360444399115,2.478606585680583,2.5750837892959897,0.1136133849656953,0.2292074728957667,0.2994153421465341,0.3184707521211824,0.13287551494306354,0.188636504361806,nan,0.21479644045305024,0.26432097123688053
86,camden/z18_camden201901/t0038/z000_y0256_x0512,z18_camden201901,1,38,0,5,5,50.0,256,512,0.6474933624267578,0.47259521484375,0.15016076047544802,0.3171323914707036,1.5280673747705917,1.8780944798653456,0.0012640532487796998,1.5476331447124727,1.8382283132843846,0.16316273882921017,0.24632605058065277,0.3289225124019077,0.12225547152867347,0.08668513796395085,0.11022807751998445,0.07335921589667423,0.16470345782014298,0.19002857815762064
86,camden/z18_camden201901/t0038/z000_y0256_x0512,z18_camden201901,1,38,0,7,7,70.0,256,512,0.6474933624267578,0.94073486328125,0.09187940056027602,0.1908176802032608,1.6145668459543423,1.9947327528867693,-0.06178414098118708,0.9910789098145163,1.2277832199081917,0.19129701560305284,0.33112838172414394,0.431606449952731,0.14861124420959038,0.0832274047898216,0.10687639603330161,0.11093928181748942,0.10669546239312491,0.12912121101527194
86,camden/z18_camden201901/t0038/z000_y0256_x0512,z18_camden201901,1,38,0,10,10,100.0,256,512,0.6474933624267578,0.999755859375,0.008958567127525498,-0.0790325319377661,1.5764170492888951,1.925686393074174,0.06755738172677264,1.311699426077734,1.5380479858929852,0.07870506443155499,0.4503989040523633,0.5739371499451434,0.036158465919181836,0.164072864205191,0.19184180575299747,0.03459498193963197,0.16418311616294404,0.20361706069493535
86,camden/z18_camden201901/t0038/z000_y0256_x0512,z18_camden201901,1,38,0,12,12,120.0,256,512,0.6474933624267578,1.0,-0.011256835593415282,-0.08570343572108294,1.7005135402214364,2.0078183636857028,0.028535712272224522,1.1631655354121904,1.3779964600556882,0.05484132184051507,0.4588077033102955,0.5864610662467907,0.024039206086637635,0.18145686429488705,0.20704892020827953,0.03385082657257369,0.27234313171356916,0.31201202023784597
86,camden/z18_camden201901/t0038/z000_y0256_x0512,z18_camden201901,1,38,0,15,15,150.0,256,512,0.6474933624267578,1.0,0.05388595974495764,0.023476233667156347,1.6098845094093122,1.9280361075143078,0.018625003628434472,1.0774797883223073,1.274022298740793,0.05736074558528589,0.45334676229347437,0.5885194681521212,0.14512995764894623,0.28834808879037155,0.3046660957032298,0.10195810806521888,0.20757283410057425,0.24878793266059898
683,camden/z24_camden201907/t0033/z000_y0512_x0544,z24_camden201907,7,33,0,3,3,30.0,512,544,0.6062374114990234,0.0,-999.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
683,camden/z24_camden201907/t0033/z000_y0512_x0544,z24_camden201907,7,33,0,5,5,50.0,512,544,0.6062374114990234,0.287139892578125,0.05288733199553847,-0.0642585670252816,1.0165085394776,1.2696207011684937,0.23326380061859173,1.0132805536753415,1.2590809893991042,0.04555225916553206,0.21922209540873525,0.2812137982616536,-0.03416845088158674,0.8020505070090864,0.9109852568953061,-0.03346631707040426,0.7097809733081566,0.8324678983698129
683,camden/z24_camden201907/t0033/z000_y0512_x0544,z24_camden201907,7,33,0,7,7,70.0,512,544,0.6062374114990234,0.8692474365234375,0.051843500112579655,-0.0043075788561574915,0.9744458814651407,1.2199293054600806,0.031550418127643365,1.3187386652684494,1.5906880086483257,0.037616880325135105,0.39963273205090105,0.5023991274087002,0.16171064940521138,0.6767756900137475,0.7614444035638248,0.15843577406229942,0.5594986403603869,0.6602225521556395
683,camden/z24_camden201907/t0033/z000_y0512_x0544,z24_camden201907,7,33,0,10,10,100.0,512,544,0.6062374114990234,0.9876556396484375,0.09806562464530134,0.04448461891665857,0.9141103802480633,1.136126959829982,0.13419023977866168,1.3463868380112263,1.6045253792956138,0.05682741159002044,0.6195800669187816,0.7667658700495095,0.1307522140897529,0.6716192044941721,0.7171061174023753,0.12403297627206362,0.7933308868665161,0.8327898948430739
683,camden/z24_camden201907/t0033/z000_y0512_x0544,z24_camden201907,7,33,0,12,12,120.0,512,544,0.6062374114990234,0.999725341796875,0.009030211140860046,-0.05718627075800105,0.9068499038648051,1.1260900700274183,0.02293085516859544,1.3812518776774956,1.6353169572296729,0.04295885501747715,0.7052633204096178,0.8685085172902279,0.0754866553851126,0.6618919510057388,0.6977223708142407,0.0754659535120107,0.783094126596174,0.8141711040019893
683,camden/z24_camden201907/t0033/z000_y0512_x0544,z24_camden201907,7,33,0,15,15,150.0,512,544,0.6062374114990234,1.0,0.09276556595372397,0.013323125917858357,0.896378954172178,1.1036693488747071,0.24518087774897632,1.3070093630576594,1.5465286614009073,0.01440446816428281,0.7945682838838763,0.9731328553884288,0.006275765048470768,0.7381472590277554,0.763195468563989,0.010821307435147826,0.8648416358046234,0.8867523710114465
811,camden/z25_camden201908/t0034/z000_y0512_x0544,z25_camden201908,8,34,0,3,3,30.0,512,544,0.6062374114990234,0.0,-999.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
