dataset_index,sample_key,job,month,time_index,z0,local_z,global_z,height_m,y0,x0,valid_fraction_3d,valid_fraction_slice,score,u_R,u_MAE,u_RMSE,v_R,v_MAE,v_RMSE,w_R,w_MAE,w_RMSE,theta_prime_R,theta_prime_MAE,theta_prime_RMSE,theta_R,theta_MAE,theta_RMSE
965,camden/z26_camden201909/t0037/z000_y0256_x0256,z26_camden201909,9,37,0,3,3,30.0,256,256,0.5841083526611328,0.0,-999.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
965,camden/z26_camden201909/t0037/z000_y0256_x0256,z26_camden201909,9,37,0,5,5,50.0,256,256,0.5841083526611328,0.227294921875,-0.005527473233754044,-0.0984305242610984,1.482469420595981,1.7830140448674876,0.0581227730983076,1.084203069283358,1.3386854964495458,0.028023565840827973,0.17356650720462172,0.22198974148667464,0.028716245524725334,0.8547561188837639,0.8801034843815014,0.031136686778717906,0.9308659771715404,0.9600558142393594
965,camden/z26_camden201909/t0037/z000_y0256_x0256,z26_camden201909,9,37,0,7,7,70.0,256,256,0.5841083526611328,0.7523193359375,0.09918172530226399,0.1410285707103301,1.878581286651756,2.0263283545575375,0.09424589566171547,1.121479044305549,1.3827200548458545,0.08031406708936185,0.25210344902766735,0.32793772186120246,0.0512798348703198,0.6253703962730429,0.6332856095757465,0.05897901684511076,0.6875837178426034,0.7001569463555803
965,camden/z26_camden201909/t0037/z000_y0256_x0256,z26_camden201909,9,37,0,10,10,100.0,256,256,0.5841083526611328,0.9882659912109375,0.1121839519748272,0.10236479554014516,2.6336393387723653,2.738850558136699,0.17806407590430218,0.9776960480256787,1.1840441750355795,0.07859028388108766,0.3246636965658662,0.41606325133776767,0.04041733110086496,0.523106796149516,0.5280428638556205,0.06391462408384181,0.5544558652350987,0.5620233746377266
965,camden/z26_camden201909/t0037/z000_y0256_x0256,z26_camden201909,9,37,0,12,12,120.0,256,256,0.5841083526611328,0.999298095703125,0.027492568689323614,0.01435875975280591,2.9762057126396613,3.06448917708922,0.06329613252335124,1.072139613618194,1.270848127111349,0.05154454555482437,0.3389267649927156,0.43337758290676875,-0.009055483540290407,0.504112121967491,0.5091073185420677,0.005265879348824181,0.5197871517053833,0.5251684200110156
965,camden/z26_camden201909/t0037/z000_y0256_x0256,z26_camden201909,9,37,0,15,15,150.0,256,256,0.5841083526611328,1.0,0.09158781459544851,0.27096701633074566,3.4157976562491967,3.4609749719022833,0.0511016604568345,0.8181550010776846,0.97555817228504,0.035657435866572565,0.308949343796062,0.3991391478635497,-0.09167637629413268,0.32013285440552863,0.33413046888685083,0.006253807084675766,0.3145233476534486,0.3265599184267041
891,camden/z25_camden201908/t0039/z000_y0512_x0544,z25_camden201908,8,39,0,3,3,30.0,512,544,0.6062374114990234,0.0,-999.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
891,camden/z25_camden201908/t0039/z000_y0512_x0544,z25_camden201908,8,39,0,5,5,50.0,512,544,0.6062374114990234,0.287139892578125,0.24346934135763976,0.29231494311161244,0.9218309734652914,1.1711705828002859,0.35990732691111343,1.4743877454573828,1.759092182347616,0.1964944675081338,0.25128106229847946,0.3388222986659632,0.02146729389711606,0.2806722455060068,0.30958205600953903,-0.007908516433831298,0.24166330245694365,0.2739059452447476
891,camden/z25_camden201908/t0039/z000_y0512_x0544,z25_camden201908,8,39,0,7,7,70.0,512,544,0.6062374114990234,0.8692474365234375,0.2322354748529642,0.2638241434929425,1.0419810582444422,1.2851545286130819,0.3823431260415351,1.858617490551254,2.189042660716026,0.17636528219596406,0.40408004819977766,0.5441208195583035,-0.010965334375604452,0.1942050195027819,0.2100875989407702,0.002851846223483423,0.25306009500891824,0.26509893603101475
891,camden/z25_camden201908/t0039/z000_y0512_x0544,z25_camden201908,8,39,0,10,10,100.0,512,544,0.6062374114990234,0.9876556396484375,0.17812937146381547,0.23271564111134005,1.0625454057404287,1.308338708889625,0.21278981917847464,2.1078546103770046,2.4615266292827163,0.13780144610248105,0.6085753262435538,0.78733213371888,0.06124955222902505,0.17197291419288271,0.18642488818670563,-0.010522777552143817,0.10292659524193319,0.11897786370213417
891,camden/z25_camden201908/t0039/z000_y0512_x0544,z25_camden201908,8,39,0,12,12,120.0,512,544,0.6062374114990234,0.999725341796875,0.1480449745292476,0.21961648126176392,1.06534475047181,1.3125632394308653,0.17977525124400845,2.226920748651055,2.5649013266429526,0.10766292020735736,0.688896741150693,0.8813972523761558,0.011498888567437688,0.17741078744514246,0.18868108567198064,0.021851280532421916,0.16510587018205516,0.17670757583820207
891,camden/z25_camden201908/t0039/z000_y0512_x0544,z25_camden201908,8,39,0,15,15,150.0,512,544,0.6062374114990234,1.0,0.10448169485085744,0.1300335617076353,1.1489909176161746,1.4079046137116618,0.13397053684998075,2.132166331015469,2.4747900790065303,0.1087473686677301,0.7398386352426662,0.9419479765704217,0.026571567689221292,0.09158776127151214,0.10780608821432079,0.011588810001383166,0.11614968767389655,0.1431502291310111
318,camden/z20_camden201903/t0038/z000_y0544_x0512,z20_camden201903,3,38,0,3,3,30.0,544,512,0.5702686309814453,0.0,-999.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318,camden/z20_camden201903/t0038/z000_y0544_x0512,z20_camden201903,3,38,0,5,5,50.0,544,512,0.5702686309814453,0.219024658203125,0.2585721946855082,0.3204901886422106,1.956550122702605,2.385602329878919,0.3114858052962281,2.6266476458222217,3.0935781068856443,0.26805694872834557,0.3540615172090557,0.4764621274274926,0.09591099748254944,0.5174228785445601,0.5336546386867049,-0.000801641600647497,0.53410981215357,0.5499831057718088
