concentration_MAE,concentration_R,concentration_R2,concentration_RMSE,concentration_count,local_z,target_enhancement_MAE,target_enhancement_R,target_enhancement_R2,target_enhancement_RMSE,target_enhancement_count
1.6182413861795437,0.9770991071283786,0.954365245874944,2.410381412410117,163,0,1.61824080987942,0.9577211989750566,0.9158922173348858,2.410381486277031,163
1.441759420386495,0.9811597272485171,0.9623940752962855,2.1707372599685466,227,1,1.441759428788912,0.9631754164020311,0.9264363175016687,2.170737749502042,227
1.4326576906092026,0.9810714535767524,0.9619988512262491,2.185953711629572,272,2,1.4326575687702965,0.9630422160034716,0.9259721881524704,2.1859532798269106,272
1.389851851429013,0.9799423269193827,0.9598859342828694,2.170567195802254,278,3,1.3898513385717817,0.9591118492302192,0.9185588453707862,2.1705666388425913,278
1.2567711699780801,0.9832557350924106,0.9662801578792879,1.922856288006514,278,4,1.2567712128591195,0.9637963532444777,0.9275474099547426,1.922856228842011,278
1.141320427544683,0.985216606018718,0.9701272070735438,1.7441401272523818,278,5,1.1413210175877853,0.965737883109357,0.9314741436172461,1.7441402368939676,278
1.040393307912264,0.9865592954037342,0.9730513993808384,1.5985704644417338,278,6,1.040393214431598,0.9667382947397943,0.9340639528766759,1.5985703818661599,278
1.0005329598625787,0.9861281856739251,0.9723380350920211,1.5662102310758328,278,7,1.000532343233232,0.9634782912241505,0.9279859911989107,1.56620915660068,278
0.974774916395009,0.9855600104335621,0.9711642107029448,1.549547067522209,278,8,0.9747753066124676,0.9596677713478846,0.9203556476424894,1.5495474876762905,278
0.956413543481621,0.984895349535232,0.9697457015319478,1.5405708760977008,278,9,0.9564141764057627,0.9553468212994248,0.9116358777385892,1.5405712374836897,278
0.9313600389219874,0.9841218221934689,0.9680315685798977,1.5365069869846595,278,10,0.9313597018770177,0.9502881331237226,0.9011790332507271,1.5365070575439885,278
0.9021728296074079,0.9833891128931495,0.9664219466380907,1.5298431981387712,278,11,0.9021729959858408,0.9450791153839144,0.8905342392524331,1.5298431547926714,278
0.8754958557568008,0.9827675527257116,0.9650233273460312,1.5196702737224388,278,12,0.8754951645144455,0.9401935505446429,0.8805983571335333,1.5196691372043738,278
0.8478654820284397,0.9823187962978107,0.9641847960096305,1.5004872238816178,278,13,0.8478660188990531,0.9366014414534488,0.8734493901127756,1.500487544930202,278
0.8411265860358588,0.9820833550425502,0.9632076921322164,1.4878398908949528,278,14,0.8411270881728302,0.9341958218968267,0.8669588817726785,1.4878401433793063,278
0.8648154718412769,0.9809185886702445,0.961804330637058,1.485485557833342,278,15,0.8648144834333187,0.9280975904890459,0.8598769224665692,1.4854846773152734,278
