epoch,train_loss,val_concentration_rmse,val_concentration_mae,val_concentration_R,val_target_enhancement_rmse,best_val_concentration_rmse,lr,elapsed_s
1,0.19676738646295336,3.610551854964162,2.4830521172290654,0.9270857236663083,3.6105517862445717,3.610551854964162,0.0001,0.4498443603515625
2,0.13514373782608244,3.2152732506196915,2.0803196820507996,0.9422462306398838,3.2152733209082194,3.2152732506196915,0.0001,0.08158445358276367
3,0.11174037555853526,2.9875302913265687,1.865712600294065,0.9500556699705738,2.9875300940572584,2.9875302913265687,0.0001,0.09056663513183594
4,0.09897949298222859,2.834734699931702,1.7717904000777414,0.9553140866658476,2.834734609664006,2.834734699931702,0.0001,0.16774678230285645
5,0.09132873018582661,2.7444222386574513,1.7128169574505598,0.9580502400685615,2.74442204111828,2.7444222386574513,0.0001,0.09420919418334961
6,0.0851462110877037,2.653070533768335,1.6705493837790137,0.9608256532309053,2.6530706270210227,2.653070533768335,0.0001,0.09398722648620605
7,0.07999681226081318,2.6089813260292267,1.6508703276417431,0.9622530178620794,2.6089814634333917,2.6089813260292267,0.0001,0.08429622650146484
8,0.0765537093910906,2.549477244672263,1.607368676209695,0.9638939792918227,2.5494771646663086,2.549477244672263,0.0001,0.0889122486114502
9,0.07295385458403164,2.504939736355721,1.5876881213139105,0.9652657200717847,2.5049394927076016,2.504939736355721,0.0001,0.04401969909667969
10,0.07035045367148188,2.456564610277531,1.5637109683316037,0.9665798193841905,2.4565647416350234,2.456564610277531,0.0001,0.0429682731628418
11,0.06894792740543683,2.4208726020970577,1.5386376804676538,0.9675910163660161,2.420872632340051,2.4208726020970577,0.0001,0.04282402992248535
12,0.0662545193400648,2.398660299027706,1.5136913659976285,0.9680878811198564,2.3986602948317057,2.398660299027706,0.0001,0.043045759201049805
13,0.06442413644658194,2.37361990797869,1.50969733870732,0.9689137809045087,2.3736198297931,2.37361990797869,0.0001,0.04304099082946777
14,0.06237738538119528,2.343024566623347,1.4869155883789062,0.9696557174359501,2.343024476257422,2.343024566623347,0.0001,0.043357133865356445
15,0.06103845395975643,2.3229513801622645,1.4863205384271405,0.9703590404060046,2.3229512409531856,2.3229513801622645,0.0001,0.04943251609802246
16,0.05946259945631027,2.290665080692192,1.4512250595164142,0.9709588707993111,2.2906651240701823,2.290665080692192,0.0001,0.04899144172668457
17,0.05813172542386585,2.2797356226871317,1.4526642887697139,0.9713983159851578,2.2797355756110624,2.2797356226871317,0.0001,0.04899120330810547
18,0.05653671878907415,2.257253005850474,1.4346919260480004,0.9718232703287101,2.257253048626533,2.257253005850474,0.0001,0.0638883113861084
19,0.05457106025682555,2.2369611679562644,1.4317722730930995,0.9726603906812512,2.236961383910438,2.2369611679562644,0.0001,0.061331748962402344
20,0.053311895579099655,2.217616258041966,1.4108533154479581,0.9728509825210475,2.21761614055123,2.217616258041966,0.0001,0.08458137512207031
21,0.05234430440598064,2.195725785324991,1.395492118357274,0.9734598244179824,2.1957257941307726,2.195725785324991,0.0001,0.05287766456604004
22,0.05058127600285742,2.1744189951227746,1.3850372714122061,0.9739450186704444,2.1744191349189976,2.1744189951227746,0.0001,0.043521881103515625
23,0.049959482004245125,2.158243805885528,1.3729829707917374,0.9743694490349304,2.158243798581669,2.158243805885528,0.0001,0.11943173408508301
24,0.048675480402178235,2.1514835917079327,1.3668251430129648,0.9744768804328598,2.1514835785728637,2.1514835917079327,0.0001,0.08035635948181152
25,0.04799162265327242,2.1408259862184043,1.3592699156173265,0.9747928514038822,2.1408259621160655,2.1408259862184043,0.0001,0.08501029014587402
26,0.046129323128196925,2.120223274599507,1.3400530337841294,0.9751615393762321,2.12022324807361,2.120223274599507,0.0001,0.08992433547973633
27,0.04508393340640598,2.1215764696505257,1.3487204185036212,0.9755461318620476,2.1215762828494342,2.120223274599507,0.0001,0.09245681762695312
28,0.04365150837434663,2.0870588348687757,1.318112029886558,0.975970448419302,2.087059004329371,2.0870588348687757,0.0001,0.09040212631225586
