Task2_V3 target=background-normalized enhancement
Profile cache=/data/cd25/task2_V1/3D_UNet_pft/processed/richmond_average_profile_cache_m02_10_z001_010
Train samples=2242 val samples=278 depth=16
Feature channels: local=30, global=16
Global context enabled=True
Previous timestep CO2 is excluded completely. Target/reconstruction use current incoming background CO2.
Using device=cuda
Enhancement mean per z=[8.688699722290039, 8.134200096130371, 7.724999904632568, 7.071800231933594, 6.390399932861328, 5.827099800109863, 5.3709001541137695, 4.990799903869629, 4.65339994430542, 4.347899913787842, 4.063499927520752, 3.797800064086914, 3.55430006980896, 3.3252999782562256, 3.113800048828125, 2.918600082397461]
Enhancement std per z=[8.835000038146973, 8.336600303649902, 8.104700088500977, 7.736299991607666, 7.3643999099731445, 7.0279998779296875, 6.707499980926514, 6.4105000495910645, 6.115099906921387, 5.817999839782715, 5.52869987487793, 5.247799873352051, 4.9944000244140625, 4.770599842071533, 4.57859992980957, 4.4166998863220215]
Valid fraction per z=[0.6017000079154968, 0.8478999733924866, 0.9879999756813049, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
Layer weights=[1.9666999578475952, 1.565500020980835, 1.3272000551223755, 1.1837999820709229, 1.0751999616622925, 0.9905999898910522, 0.9247999787330627, 0.8734999895095825, 0.8335000276565552, 0.8023999929428101, 0.7781999707221985, 0.7592999935150146, 0.7445999979972839, 0.7332000136375427, 0.7242000102996826, 0.7172999978065491]
Initialized model weights from checkpoint: /data/cd25/task2_V3/3D_UNet_pft/processed/background_enhancement_v3/best_model.pt
Fresh optimizer/scheduler and epoch counter are used for this transfer run.
epoch=022 train_loss=0.050581 val_conc_R=0.973945 val_conc_MAE=1.385037 val_conc_RMSE=2.174419 val_enhancement_RMSE=2.174419 best=2.174419 lr=0.0001 improved=1 no_improve=0 elapsed=0.0s
epoch=023 train_loss=0.049959 val_conc_R=0.974369 val_conc_MAE=1.372983 val_conc_RMSE=2.158244 val_enhancement_RMSE=2.158244 best=2.158244 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=024 train_loss=0.048675 val_conc_R=0.974477 val_conc_MAE=1.366825 val_conc_RMSE=2.151484 val_enhancement_RMSE=2.151484 best=2.151484 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=025 train_loss=0.047992 val_conc_R=0.974793 val_conc_MAE=1.359270 val_conc_RMSE=2.140826 val_enhancement_RMSE=2.140826 best=2.140826 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=026 train_loss=0.046129 val_conc_R=0.975162 val_conc_MAE=1.340053 val_conc_RMSE=2.120223 val_enhancement_RMSE=2.120223 best=2.120223 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=027 train_loss=0.045084 val_conc_R=0.975546 val_conc_MAE=1.348720 val_conc_RMSE=2.121576 val_enhancement_RMSE=2.121576 best=2.120223 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
epoch=028 train_loss=0.043652 val_conc_R=0.975970 val_conc_MAE=1.318112 val_conc_RMSE=2.087059 val_enhancement_RMSE=2.087059 best=2.087059 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=029 train_loss=0.043590 val_conc_R=0.975934 val_conc_MAE=1.323760 val_conc_RMSE=2.091887 val_enhancement_RMSE=2.091887 best=2.087059 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
epoch=030 train_loss=0.042363 val_conc_R=0.976242 val_conc_MAE=1.320202 val_conc_RMSE=2.086305 val_enhancement_RMSE=2.086305 best=2.086305 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=031 train_loss=0.041484 val_conc_R=0.976425 val_conc_MAE=1.305636 val_conc_RMSE=2.070234 val_enhancement_RMSE=2.070234 best=2.070234 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=032 train_loss=0.040527 val_conc_R=0.976461 val_conc_MAE=1.300071 val_conc_RMSE=2.065315 val_enhancement_RMSE=2.065315 best=2.065315 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=033 train_loss=0.039287 val_conc_R=0.976924 val_conc_MAE=1.299725 val_conc_RMSE=2.051823 val_enhancement_RMSE=2.051823 best=2.051823 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=034 train_loss=0.038375 val_conc_R=0.977012 val_conc_MAE=1.289866 val_conc_RMSE=2.044867 val_enhancement_RMSE=2.044867 best=2.044867 lr=0.0001 improved=1 no_improve=0 elapsed=0.0s
epoch=035 train_loss=0.037845 val_conc_R=0.977073 val_conc_MAE=1.285815 val_conc_RMSE=2.041393 val_enhancement_RMSE=2.041393 best=2.041393 lr=0.0001 improved=1 no_improve=0 elapsed=0.0s
epoch=036 train_loss=0.037294 val_conc_R=0.977275 val_conc_MAE=1.279313 val_conc_RMSE=2.031181 val_enhancement_RMSE=2.031181 best=2.031181 lr=0.0001 improved=1 no_improve=0 elapsed=0.0s
epoch=037 train_loss=0.036084 val_conc_R=0.977378 val_conc_MAE=1.287848 val_conc_RMSE=2.038447 val_enhancement_RMSE=2.038447 best=2.031181 lr=0.0001 improved=0 no_improve=1 elapsed=0.0s
epoch=038 train_loss=0.036337 val_conc_R=0.977712 val_conc_MAE=1.266206 val_conc_RMSE=2.011104 val_enhancement_RMSE=2.011104 best=2.011104 lr=0.0001 improved=1 no_improve=0 elapsed=0.0s
epoch=039 train_loss=0.035476 val_conc_R=0.977719 val_conc_MAE=1.261181 val_conc_RMSE=2.009546 val_enhancement_RMSE=2.009546 best=2.009546 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=040 train_loss=0.034370 val_conc_R=0.977926 val_conc_MAE=1.270226 val_conc_RMSE=2.016888 val_enhancement_RMSE=2.016888 best=2.009546 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
epoch=041 train_loss=0.033902 val_conc_R=0.978051 val_conc_MAE=1.259982 val_conc_RMSE=2.002134 val_enhancement_RMSE=2.002134 best=2.002134 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=042 train_loss=0.033016 val_conc_R=0.978132 val_conc_MAE=1.252952 val_conc_RMSE=1.995718 val_enhancement_RMSE=1.995718 best=1.995718 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=043 train_loss=0.032491 val_conc_R=0.978441 val_conc_MAE=1.240033 val_conc_RMSE=1.978898 val_enhancement_RMSE=1.978898 best=1.978898 lr=0.0001 improved=1 no_improve=0 elapsed=0.2s
epoch=044 train_loss=0.031957 val_conc_R=0.978353 val_conc_MAE=1.254188 val_conc_RMSE=1.988642 val_enhancement_RMSE=1.988642 best=1.978898 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
