concentration_MAE,concentration_R,concentration_R2,concentration_RMSE,concentration_count,local_z,target_enhancement_MAE,target_enhancement_R,target_enhancement_R2,target_enhancement_RMSE,target_enhancement_count
2.2746023698286577,0.965943066080804,0.9327513134211364,3.4632080020975424,440,0,2.2746023286472665,0.9575116625985596,0.916635533036051,3.4632075647952596,440
1.6124024401938135,0.9843657472606545,0.9687955120553865,2.3534640067765085,886,1,1.6124027900179136,0.9787138009472224,0.9575561613629624,2.3534642360086155,886
1.3696930069937807,0.9870949279435367,0.9743431556132852,2.0161534053664294,1324,2,1.369693272783677,0.9816898224475505,0.9636412533217275,2.0161536868980128,1324
1.133671151220271,0.9906376157997033,0.9813264406837228,1.644432611718068,1695,3,1.1336713093220308,0.9861361984653805,0.9724422103814064,1.6444328100016463,1695
0.9827958546271844,0.9925999367134544,0.9850742921506745,1.4019249959662283,1917,4,0.982796126252733,0.9885413965060189,0.9769153453095375,1.401925125460278,1917
0.9017337704140744,0.9933263839187542,0.9866737131337447,1.2723440669428976,1969,5,0.9017336185720743,0.9892704230509262,0.9785999194696016,1.2723439119209017,1969
0.8156793237452056,0.9940256228772508,0.9880784593947214,1.1569081638087102,1988,6,0.815679500760207,0.9900163135853615,0.9801018847944969,1.1569082750384856,1988
0.745111569072639,0.9947076234482016,0.9894408501119247,1.0351841991880595,1988,7,0.745111781346726,0.99068761406692,0.9814503568405145,1.0351841628869094,1988
0.6833977344290352,0.9950171373824184,0.9900193682883658,0.9576199787013217,1988,8,0.6833978238959667,0.990738555961816,0.9814751518029832,0.9576200867750931,1988
0.6329353992607992,0.9952190284045375,0.9904004491655818,0.8966580126995071,1988,9,0.6329353867881975,0.9906208473551883,0.981179788597033,0.896657985389906,1988
0.594201930331992,0.995363066832871,0.9907247668910375,0.8434938428441763,1988,10,0.5942019606739942,0.9904016216835222,0.9808237126115071,0.8434937743730332,1988
0.5598351154289015,0.9955470049692022,0.9911130669081731,0.7922959124619342,1988,11,0.5598352071744815,0.9903049093425473,0.9806948931037028,0.7922961428880533,1988
0.5439772730622013,0.9954626183194024,0.9909112669866559,0.7714985629756134,1988,12,0.5439773811181067,0.9896545792686522,0.9793654981097382,0.7714986821527181,1988
0.5258500619193678,0.9954657686703818,0.9909508933851872,0.7427479069753757,1988,13,0.5258500122688186,0.9892853141969163,0.9786843134367952,0.7427476577190048,1988
0.5122168865242235,0.9953440711780833,0.9907086968154746,0.7284152991499373,1988,14,0.512217028519997,0.9886726403394973,0.9774708803143909,0.7284155207653271,1988
0.5504254009162396,0.9939909806223358,0.9879332361145521,0.8061493898390228,1988,15,0.550425369974593,0.9850964236986403,0.970072872043852,0.8061492514642562,1988
