epoch,train_loss,val_concentration_rmse,val_concentration_mae,val_concentration_R,val_target_enhancement_rmse,best_val_concentration_rmse,lr,elapsed_s
1,0.3041216693818569,5.773664612689697,3.953557562325121,0.840653439700283,5.773664749274719,5.773664612689697,0.0003,0.5969860553741455
2,0.20550331193953753,4.945927921240188,3.208903890057912,0.8891215712036219,4.9459278971120835,4.945927921240188,0.0003,0.20405936241149902
3,0.16492123436182737,4.3014232775530346,2.8104424056797854,0.9131767320940035,4.3014232741658125,4.3014232775530346,0.0003,0.20777130126953125
4,0.13106380263343453,3.818927810892654,2.4548596481915443,0.9333968729319221,3.8189278240633193,3.818927810892654,0.0003,0.18365931510925293
5,0.1154820267111063,3.4172728258682037,2.2516486917758782,0.9458393707679003,3.41727277959888,3.4172728258682037,0.0003,0.17868590354919434
6,0.08932037791237235,3.1507121975041783,2.068538122830865,0.9543115710341173,3.1507122467313797,3.1507121975041783,0.0003,0.19476008415222168
7,0.08316530007869005,2.9525768507806966,1.942643559698675,0.960362527809009,2.9525767999083152,2.9525768507806966,0.0003,0.23077654838562012
8,0.07322197733446956,2.8084290635074014,1.8896546623868047,0.963852311165107,2.8084291182792,2.8084290635074014,0.0003,0.24320745468139648
9,0.06625957298092544,2.655404298934698,1.7528688944347437,0.967759673094841,2.655404268013443,2.655404298934698,0.0003,0.31516170501708984
10,0.057332910131663084,2.5425748810073463,1.6829346958089972,0.9702926910360142,2.542574863196622,2.5425748810073463,0.0003,0.22452974319458008
11,0.055804464500397444,2.4744073500287413,1.6278078733914214,0.9717597694497678,2.474407229173608,2.4744073500287413,0.0003,0.2080395221710205
12,0.052894686348736286,2.42072716722003,1.610784772934194,0.9734232096830215,2.4207271135633293,2.42072716722003,0.0003,0.1849534511566162
13,0.05052919569425285,2.329856942332261,1.5422504616794666,0.9751784476084789,2.329856927501992,2.329856942332261,0.0003,0.25775623321533203
14,0.04659279086627066,2.2562449574349492,1.4908108164536347,0.9765716230513926,2.256244959744715,2.2562449574349492,0.0003,0.1946725845336914
15,0.04668642720207572,2.1835145986682516,1.441477168548205,0.9781611832522628,2.1835144605536123,2.1835145986682516,0.0003,0.25891804695129395
16,0.04121323279105127,2.1464889939788288,1.4250537991324432,0.9788876847675035,2.1464889253637445,2.1464889939788288,0.0003,0.22223496437072754
17,0.041199422208592296,2.1057063231461797,1.4045993432703168,0.9796959841149953,2.105706418486684,2.1057063231461797,0.0003,0.2941617965698242
18,0.03709072177298367,2.0657916410543242,1.377491333446399,0.980628019872785,2.0657916248900587,2.0657916410543242,0.0003,0.19458222389221191
19,0.037555357441306114,2.0853480627169283,1.3865483895907351,0.9801903647010152,2.0853480176658072,2.0657916410543242,0.0003,0.2416675090789795
20,0.038100583013147116,2.007676984116776,1.3480263474207161,0.9816932318973303,2.0076769765271774,2.007676984116776,0.0003,0.2584519386291504
21,0.033485196297988296,2.010008407388412,1.3225395808135605,0.9815796118593524,2.010008340218659,2.007676984116776,0.0003,0.2457742691040039
22,0.03605936758685857,1.9678044072209835,1.318077461666335,0.9822741814335717,1.9678043674416206,1.9678044072209835,0.0003,0.2823970317840576
23,0.03339364391285926,1.9602255437494938,1.289669356984435,0.9825068112962082,1.960225568526716,1.9602255437494938,0.0003,0.2416529655456543
24,0.032127111102454364,1.9452071851816797,1.2719884182192218,0.9828314607416677,1.9452072340174482,1.9452071851816797,0.0003,0.19760608673095703
25,0.03015991160646081,1.893557482063082,1.2433223596127572,0.9838731924809768,1.893557547051891,1.893557482063082,0.0003,0.2214794158935547
26,0.031629154342226684,1.9306469987379797,1.269205834108951,0.9832851730585863,1.9306470474901438,1.893557482063082,0.0003,0.1894845962524414
27,0.029030502773821354,1.8805014035939207,1.2579431205755753,0.9838329964802442,1.880501460858199,1.8805014035939207,0.0003,0.2543163299560547
28,0.031089071999303997,1.9448002411782672,1.2736613093239746,0.9831341788104229,1.9448001759985396,1.8805014035939207,0.0003,0.20237040519714355
29,0.030711674597114325,1.9295361707722156,1.283782380354332,0.9830588699041729,1.9295361687462123,1.8805014035939207,0.0003,0.27240777015686035
30,0.03209714428521693,1.8916851854592402,1.2570373821757248,0.9840990497033042,1.8916851802517727,1.8805014035939207,0.0003,0.19552946090698242
31,0.02951236697845161,1.80552883604227,1.2123034653204456,0.9852543106751941,1.8055288435483843,1.80552883604227,0.0003,0.2815213203430176
